;Unnamed: 0;ciudad_de_ubicaci_n;fecha_reporte_web;conteo_confirmados;conteo_recuperado;conteo_fallecidos;casos_activos;acumulado_dia_confirmados;acumulado_dia_recuperado;acumulado_dia_fallecidos;acumulado_dia_activos;;tasa_contagio;tasa_recuperado;;susceptibles;Poblacion_total;tasa_contagiados;tasa_recuperados;tasa_contagiados_mas_1
0;669;Medellín;9/03/2020;1;1;0;0;1;1;0;0;1;1,7;;0;2427129;2427129;4,12E-07;1;1,000000412
1;670;Medellín;11/03/2020;2;2;0;0;3;3;0;0;3;3;1;0;2427126;2427129;1,24E-06;1;1,000001236
2;671;Medellín;14/03/2020;2;2;0;0;5;5;0;0;5;1,666666667;1;0;2427121;2427129;2,06E-06;1;1,00000206
3;672;Medellín;15/03/2020;1;1;0;0;6;6;0;0;6;1,2;1;0;2427115;2427129;2,47E-06;1;1,000002472
4;673;Medellín;19/03/2020;3;3;0;0;9;9;0;0;9;1,5;1;0;2427106;2427129;3,71E-06;1;1,000003708
5;674;Medellín;20/03/2020;7;7;0;0;16;16;0;0;16;1,777777778;1;0;2427090;2427129;6,59E-06;1;1,000006592
6;675;Medellín;21/03/2020;1;1;0;0;17;17;0;0;17;1,0625;1;0;2427073;2427129;7,00E-06;1;1,000007004
7;676;Medellín;22/03/2020;2;2;0;0;19;19;0;0;19;1,117647059;1;0;2427054;2427129;7,83E-06;1;1,000007828
8;677;Medellín;23/03/2020;13;13;0;0;32;32;0;0;32;1,684210526;1;0;2427022;2427129;1,32E-05;1;1,000013185
9;678;Medellín;25/03/2020;6;6;0;0;38;38;0;0;38;1,1875;1;0;2426984;2427129;1,57E-05;1;1,000015657
10;679;Medellín;28/03/2020;4;4;0;0;42;42;0;0;42;1,105263158;1;0;2426942;2427129;1,73E-05;1;1,000017306
11;680;Medellín;29/03/2020;8;8;0;0;50;50;0;0;50;1,19047619;1;0;2426892;2427129;2,06E-05;1;1,000020602
12;681;Medellín;30/03/2020;8;8;0;0;58;58;0;0;58;1,16;1;0;2426834;2427129;2,39E-05;1;1,000023899
13;682;Medellín;31/03/2020;4;4;0;0;62;62;0;0;62;1,068965517;1;0;2426772;2427129;2,55E-05;1;1,000025548
14;683;Medellín;1/04/2020;1;1;0;0;63;63;0;0;63;1,016129032;1;0;2426709;2427129;2,60E-05;1;1,000025961
15;684;Medellín;2/04/2020;10;10;0;0;73;73;0;0;73;1,158730159;1;0;2426636;2427129;3,01E-05;1;1,000030083
16;685;Medellín;3/04/2020;11;11;0;0;84;84;0;0;84;1,150684932;1;0;2426552;2427129;3,46E-05;1;1,000034617
17;686;Medellín;4/04/2020;2;2;0;0;86;86;0;0;86;1,023809524;1;0;2426466;2427129;3,54E-05;1;1,000035442
18;687;Medellín;5/04/2020;9;9;0;0;95;95;0;0;95;1,104651163;1;0;2426371;2427129;3,92E-05;1;1,000039153
19;688;Medellín;6/04/2020;5;4;1;0;100;99;1;0;100;1,052631579;0,99;0,01;2426271;2427129;4,12E-05;0,99;1,000041216
20;689;Medellín;7/04/2020;13;13;0;0;113;112;1;0;113;1,13;0,991150442;0,008849558;2426158;2427129;4,66E-05;0,991150442;1,000046576
21;690;Medellín;8/04/2020;27;27;0;0;140;139;1;0;140;1,238938053;0,992857143;0,007142857;2426018;2427129;5,77E-05;0,992857143;1,000057708
22;691;Medellín;9/04/2020;2;2;0;0;142;141;1;0;142;1,014285714;0,992957746;0,007042254;2425876;2427129;5,85E-05;0,992957746;1,000058536
23;692;Medellín;10/04/2020;5;5;0;0;147;146;1;0;147;1,035211268;0,993197279;0,006802721;2425729;2427129;6,06E-05;0,993197279;1,0000606
24;693;Medellín;11/04/2020;3;3;0;0;150;149;1;0;150;1,020408163;0,993333333;0,006666667;2425579;2427129;6,18E-05;0,993333333;1,000061841
25;694;Medellín;12/04/2020;7;7;0;0;157;156;1;0;157;1,046666667;0,993630573;0,006369427;2425422;2427129;6,47E-05;0,993630573;1,000064731
26;695;Medellín;13/04/2020;10;10;0;0;167;166;1;0;167;1,063694268;0,994011976;0,005988024;2425255;2427129;6,89E-05;0,994011976;1,000068859
27;696;Medellín;14/04/2020;13;13;0;0;180;179;1;0;180;1,077844311;0,994444444;0,005555556;2425075;2427129;7,42E-05;0,994444444;1,000074225
28;697;Medellín;15/04/2020;10;10;0;0;190;189;1;0;190;1,055555556;0,994736842;0,005263158;2424885;2427129;7,84E-05;0,994736842;1,000078354
29;698;Medellín;16/04/2020;4;3;1;0;194;192;2;0;194;1,021052632;0,989690722;0,010309278;2424691;2427129;8,00E-05;0,989690722;1,00008001
30;699;Medellín;17/04/2020;6;6;0;0;200;198;2;0;200;1,030927835;0,99;0,01;2424491;2427129;8,25E-05;0,99;1,000082492
31;700;Medellín;18/04/2020;8;8;0;0;208;206;2;0;208;1,04;0,990384615;0,009615385;2424283;2427129;8,58E-05;0,990384615;1,000085799
32;701;Medellín;19/04/2020;11;10;1;0;219;216;3;0;219;1,052884615;0,98630137;0,01369863;2424064;2427129;9,03E-05;0,98630137;1,000090344
33;702;Medellín;20/04/2020;6;6;0;0;225;222;3;0;225;1,02739726;0,986666667;0,013333333;2423839;2427129;9,28E-05;0,986666667;1,000092828
34;703;Medellín;21/04/2020;3;3;0;0;228;225;3;0;228;1,013333333;0,986842105;0,013157895;2423611;2427129;9,41E-05;0,986842105;1,000094075
35;704;Medellín;22/04/2020;6;6;0;0;234;231;3;0;234;1,026315789;0,987179487;0,012820513;2423377;2427129;9,66E-05;0,987179487;1,000096559
36;705;Medellín;23/04/2020;15;15;0;0;249;246;3;0;249;1,064102564;0,987951807;0,012048193;2423128;2427129;0,00010276;0,987951807;1,00010276
37;706;Medellín;24/04/2020;5;5;0;0;254;251;3;0;254;1,020080321;0,988188976;0,011811024;2422874;2427129;0,000104834;0,988188976;1,000104834
38;707;Medellín;25/04/2020;1;1;0;0;255;252;3;0;255;1,003937008;0,988235294;0,011764706;2422619;2427129;0,000105258;0,988235294;1,000105258
39;708;Medellín;26/04/2020;3;3;0;0;258;255;3;0;258;1,011764706;0,988372093;0,011627907;2422361;2427129;0,000106508;0,988372093;1,000106508
40;709;Medellín;27/04/2020;8;8;0;0;266;263;3;0;266;1,031007752;0,988721805;0,011278195;2422095;2427129;0,000109822;0,988721805;1,000109822
41;710;Medellín;28/04/2020;3;3;0;0;269;266;3;0;269;1,011278195;0,988847584;0,011152416;2421826;2427129;0,000111073;0,988847584;1,000111073
42;711;Medellín;29/04/2020;4;4;0;0;273;270;3;0;273;1,014869888;0,989010989;0,010989011;2421553;2427129;0,000112738;0,989010989;1,000112738
43;712;Medellín;30/04/2020;4;4;0;0;277;274;3;0;277;1,014652015;0,989169675;0,010830325;2421276;2427129;0,000114402;0,989169675;1,000114402
44;713;Medellín;1/05/2020;1;1;0;0;278;275;3;0;278;1,003610108;0,989208633;0,010791367;2420998;2427129;0,000114829;0,989208633;1,000114829
45;714;Medellín;3/05/2020;6;6;0;0;284;281;3;0;284;1,021582734;0,98943662;0,01056338;2420714;2427129;0,000117321;0,98943662;1,000117321
46;715;Medellín;4/05/2020;3;3;0;0;287;284;3;0;287;1,01056338;0,989547038;0,010452962;2420427;2427129;0,000118574;0,989547038;1,000118574
47;716;Medellín;5/05/2020;3;3;0;0;290;287;3;0;290;1,010452962;0,989655172;0,010344828;2420137;2427129;0,000119828;0,989655172;1,000119828
48;717;Medellín;6/05/2020;3;3;0;0;293;290;3;0;293;1,010344828;0,989761092;0,010238908;2419844;2427129;0,000121082;0,989761092;1,000121082
49;718;Medellín;7/05/2020;3;3;0;0;296;293;3;0;296;1,010238908;0,989864865;0,010135135;2419548;2427129;0,000122337;0,989864865;1,000122337
50;719;Medellín;8/05/2020;3;3;0;0;299;296;3;0;299;1,010135135;0,989966555;0,010033445;2419249;2427129;0,000123592;0,989966555;1,000123592
51;720;Medellín;9/05/2020;1;1;0;0;300;297;3;0;300;1,003344482;0,99;0,01;2418949;2427129;0,000124021;0,99;1,000124021
52;721;Medellín;10/05/2020;2;2;0;0;302;299;3;0;302;1,006666667;0,990066225;0,009933775;2418647;2427129;0,000124863;0,990066225;1,000124863
53;722;Medellín;11/05/2020;5;5;0;0;307;304;3;0;307;1,016556291;0,990228013;0,009771987;2418340;2427129;0,000126947;0,990228013;1,000126947
54;723;Medellín;12/05/2020;4;3;1;0;311;307;4;0;311;1,013029316;0,987138264;0,012861736;2418029;2427129;0,000128617;0,987138264;1,000128617
55;724;Medellín;13/05/2020;7;7;0;0;318;314;4;0;318;1,022508039;0,987421384;0,012578616;2417711;2427129;0,000131529;0,987421384;1,000131529
56;725;Medellín;14/05/2020;10;10;0;0;328;324;4;0;328;1,031446541;0,987804878;0,012195122;2417383;2427129;0,000135684;0,987804878;1,000135684
57;726;Medellín;15/05/2020;7;6;1;0;335;330;5;0;335;1,021341463;0,985074627;0,014925373;2417048;2427129;0,000138599;0,985074627;1,000138599
58;727;Medellín;16/05/2020;6;5;1;0;341;335;6;0;341;1,017910448;0,982404692;0,017595308;2416707;2427129;0,000141101;0,982404692;1,000141101
59;728;Medellín;17/05/2020;8;8;0;0;349;343;6;0;349;1,023460411;0,982808023;0,017191977;2416358;2427129;0,000144432;0,982808023;1,000144432
60;729;Medellín;18/05/2020;6;6;0;0;355;349;6;0;355;1,017191977;0,983098592;0,016901408;2416003;2427129;0,000146937;0,983098592;1,000146937
61;730;Medellín;19/05/2020;13;13;0;0;368;362;6;0;368;1,036619718;0,983695652;0,016304348;2415635;2427129;0,000152341;0,983695652;1,000152341
62;731;Medellín;20/05/2020;4;4;0;0;372;366;6;0;372;1,010869565;0,983870968;0,016129032;2415263;2427129;0,00015402;0,983870968;1,00015402
63;732;Medellín;21/05/2020;13;13;0;0;385;379;6;0;385;1,034946237;0,984415584;0,015584416;2414878;2427129;0,000159428;0,984415584;1,000159428
64;733;Medellín;22/05/2020;8;8;0;0;393;387;6;0;393;1,020779221;0,984732824;0,015267176;2414485;2427129;0,000162768;0,984732824;1,000162768
65;734;Medellín;23/05/2020;34;34;0;0;427;421;6;0;427;1,086513995;0,985948478;0,014051522;2414058;2427129;0,000176881;0,985948478;1,000176881
66;735;Medellín;24/05/2020;13;13;0;0;440;434;6;0;440;1,030444965;0,986363636;0,013636364;2413618;2427129;0,000182299;0,986363636;1,000182299
67;736;Medellín;25/05/2020;6;6;0;0;446;440;6;0;446;1,013636364;0,986547085;0,013452915;2413172;2427129;0,000184819;0,986547085;1,000184819
68;737;Medellín;26/05/2020;23;23;0;0;469;463;6;0;469;1,051569507;0,987206823;0,012793177;2412703;2427129;0,000194388;0,987206823;1,000194388
69;738;Medellín;27/05/2020;14;14;0;0;483;477;6;0;483;1,029850746;0,98757764;0,01242236;2412220;2427129;0,00020023;0,98757764;1,00020023
70;739;Medellín;28/05/2020;21;21;0;0;504;498;6;0;504;1,043478261;0,988095238;0,011904762;2411716;2427129;0,00020898;0,988095238;1,00020898
71;740;Medellín;29/05/2020;11;11;0;0;515;509;6;0;515;1,021825397;0,988349515;0,011650485;2411201;2427129;0,000213587;0,988349515;1,000213587
72;741;Medellín;30/05/2020;16;16;0;0;531;525;6;0;531;1,031067961;0,988700565;0,011299435;2410670;2427129;0,000220271;0,988700565;1,000220271
73;742;Medellín;31/05/2020;17;17;0;0;548;542;6;0;548;1,032015066;0,989051095;0,010948905;2410122;2427129;0,000227374;0,989051095;1,000227374
74;743;Medellín;1/06/2020;5;5;0;0;553;547;6;0;553;1,009124088;0,98915009;0,01084991;2409569;2427129;0,000229502;0,98915009;1,000229502
75;744;Medellín;2/06/2020;24;24;0;0;577;571;6;0;577;1,043399638;0,989601386;0,010398614;2408992;2427129;0,000239519;0,989601386;1,000239519
76;745;Medellín;3/06/2020;16;16;0;0;593;587;6;0;593;1,027729636;0,989881956;0,010118044;2408399;2427129;0,000246222;0,989881956;1,000246222
77;746;Medellín;4/06/2020;13;13;0;0;606;600;6;0;606;1,021922428;0,99009901;0,00990099;2407793;2427129;0,000251683;0,99009901;1,000251683
78;747;Medellín;5/06/2020;13;12;0;0;619;612;6;0;619;1,021452145;0,988691438;0,009693053;2407174;2427129;0,000257148;0,988691438;1,000257148
79;748;Medellín;6/06/2020;13;13;0;0;632;625;6;0;632;1,021001616;0,988924051;0,009493671;2406542;2427129;0,000262617;0,988924051;1,000262617
80;749;Medellín;7/06/2020;16;14;2;0;648;639;8;0;648;1,025316456;0,986111111;0,012345679;2405894;2427129;0,000269339;0,986111111;1,000269339
81;750;Medellín;8/06/2020;28;28;0;0;676;667;8;0;676;1,043209877;0,986686391;0,01183432;2405218;2427129;0,000281056;0,986686391;1,000281056
82;751;Medellín;9/06/2020;34;31;0;3;710;698;8;3;236,6666667;1,050295858;0,983098592;0,011267606;2404508;2427129;0,000295279;0,983098592;1,000295279
83;752;Medellín;10/06/2020;29;28;0;0;739;726;8;3;246,3333333;1,04084507;0,98240866;0,01082544;2403769;2427129;0,000307434;0,98240866;1,000307434
84;753;Medellín;11/06/2020;18;18;0;0;757;744;8;3;252,3333333;1,02435724;0,982826948;0,010568032;2403012;2427129;0,000315021;0,982826948;1,000315021
85;754;Medellín;12/06/2020;29;27;1;1;786;771;9;4;196,5;1,038309115;0,980916031;0,011450382;2402226;2427129;0,000327197;0,980916031;1,000327197
86;755;Medellín;13/06/2020;33;32;0;1;819;803;9;5;163,8;1,041984733;0,98046398;0,010989011;2401407;2427129;0,00034105;0,98046398;1,00034105
87;756;Medellín;14/06/2020;32;32;0;0;851;835;9;5;170,2;1,039072039;0,98119859;0,010575793;2400556;2427129;0,000354501;0,98119859;1,000354501
88;757;Medellín;15/06/2020;51;50;1;0;902;885;10;5;180,4;1,059929495;0,981152993;0,011086475;2399654;2427129;0,000375888;0,981152993;1,000375888
89;758;Medellín;16/06/2020;35;34;0;1;937;919;10;6;156,1666667;1,038802661;0,980789755;0,010672359;2398717;2427129;0,000390625;0,980789755;1,000390625
90;759;Medellín;17/06/2020;38;36;0;2;975;955;10;8;121,875;1,040554963;0,979487179;0,01025641;2397742;2427129;0,000406633;0,979487179;1,000406633
91;760;Medellín;18/06/2020;62;56;2;4;1037;1011;12;12;86,41666667;1,063589744;0,974927676;0,011571842;2396705;2427129;0,000432677;0,974927676;1,000432677
92;761;Medellín;19/06/2020;92;88;1;3;1129;1099;13;15;75,26666667;1,088717454;0,973427812;0,011514615;2395576;2427129;0,000471285;0,973427812;1,000471285
93;762;Medellín;20/06/2020;45;41;1;3;1174;1140;14;18;65,22222222;1,039858282;0,971039182;0,011925043;2394402;2427129;0,00049031;0,971039182;1,00049031
94;763;Medellín;21/06/2020;64;60;1;3;1238;1200;15;21;58,95238095;1,05451448;0,969305331;0,012116317;2393164;2427129;0,000517307;0,969305331;1,000517307
