suceptibles;Poblacion total;acumulado_dia_confirmados;;acumulado_dia_fallecidos;TASA MUERTE;tasa contagio;;Tasa de contagio; acumulado_recuperados;acumulado_dia_confirmados;tasa recuperados; acumulado_recuperados;acumulado_dia_confirmados;
2427129;2427129;1;;0;0;0,000000412009;;0,000041201%;;1;;1;1;1
2427126;2427129;3;;0;0;0,000001236030;;0,000123603%;1;3;0,333333333;3;3;1
2427121;2427129;5;;0;0;0,000002060054;;0,000206005%;3;5;0,6;5;5;1
2427115;2427129;6;;0;0;0,000002472071;;0,000247206%;5;6;0,833333333;6;6;1
2427106;2427129;9;;0;0;0,000003708120;;0,000370808%;6;9;0,666666667;9;9;1
2427090;2427129;16;;0;0;0,000006592257;;0,000659215%;9;16;0,5625;16;16;1
2427073;2427129;17;;0;0;0,000007004322;;0,000700416%;16;17;0,941176471;17;17;1
2427054;2427129;19;;0;0;0,000007828421;;0,000782818%;17;19;0,894736842;19;19;1
2427022;2427129;32;;0;0;0,000013184883;;0,001318430%;19;32;0,59375;32;32;1
2426984;2427129;38;;0;0;0,000015657293;;0,001565636%;32;38;0,842105263;38;38;1
2426942;2427129;42;;0;0;0,000017305729;;0,001730440%;38;42;0,904761905;42;42;1
2426892;2427129;50;;0;0;0,000020602483;;0,002060047%;42;50;0,84;50;50;1
2426834;2427129;58;;0;0;0,000023899451;;0,002389655%;50;58;0,862068966;58;58;1
2426772;2427129;62;;0;0;0,000025548342;;0,002554458%;58;62;0,935483871;62;62;1
2426709;2427129;63;;0;0;0,000025961086;;0,002595659%;62;63;0,984126984;63;63;1
2426636;2427129;73;;0;0;0,000030082798;;0,003007669%;63;73;0,863013699;73;73;1
2426552;2427129;84;;0;0;0,000034617020;;0,003460879%;73;84;0,869047619;84;84;1
2426466;2427129;86;;0;0;0,000035442491;;0,003543281%;84;86;0,976744186;86;86;1
2426371;2427129;95;;0;0;0,000039153122;;0,003914089%;86;95;0,905263158;95;95;1
2426271;2427129;100;;1;0,01;0,000041215511;;0,004120094%;95;100;0,95;99;100;0,99
2426158;2427129;113;;1;0,008849558;0,000046575697;;0,004655706%;99;113;0,876106195;112;113;0,991150442
2426018;2427129;140;;1;0,007142857;0,000057707733;;0,005768132%;112;140;0,8;139;140;0,992857143
2425876;2427129;142;;1;0,007042254;0,000058535556;;0,005850534%;139;142;0,978873239;141;142;0,992957746
2425729;2427129;147;;1;0,006802721;0,000060600339;;0,006056538%;141;147;0,959183673;146;147;0,993197279
2425579;2427129;150;;1;0,006666667;0,000061840905;;0,006180141%;146;150;0,973333333;149;150;0,993333333
2425422;2427129;157;;1;0,006369427;0,000064731004;;0,006468548%;149;157;0,949044586;156;157;0,993630573
2425255;2427129;167;;1;0,005988024;0,000068858739;;0,006880557%;156;167;0,934131737;166;167;0,994011976
2425075;2427129;180;;1;0,005555556;0,000074224509;;0,007416169%;166;180;0,922222222;179;180;0,994444444
2424885;2427129;190;;1;0,005263158;0,000078354231;;0,007828179%;179;190;0,942105263;189;190;0,994736842
2424691;2427129;194;;2;0,010309278;0,000080010195;;0,007992983%;189;194;0,974226804;192;194;0,989690722
2424491;2427129;200;;2;0,01;0,000082491542;;0,008240188%;192;200;0,96;198;200;0,99
2424283;2427129;208;;2;0,009615385;0,000085798564;;0,008569796%;198;208;0,951923077;206;208;0,990384615
2424064;2427129;219;;3;0,01369863;0,000090344149;;0,009023006%;206;219;0,940639269;216;219;0,98630137
2423839;2427129;225;;3;0,013333333;0,000092827948;;0,009270212%;216;225;0,96;222;225;0,986666667
2423611;2427129;228;;3;0,013157895;0,000094074503;;0,009393815%;222;228;0,973684211;225;228;0,986842105
2423377;2427129;234;;3;0,012820513;0,000096559471;;0,009641020%;225;234;0,961538462;231;234;0,987179487
2423128;2427129;249;;3;0,012048193;0,000102759739;;0,010259034%;231;249;0,927710843;246;249;0,987951807
2422874;2427129;254;;3;0,011811024;0,000104834176;;0,010465039%;246;254;0,968503937;251;254;0,988188976
2422619;2427129;255;;3;0,011764706;0,000105257987;;0,010506240%;251;255;0,984313725;252;255;0,988235294
2422361;2427129;258;;3;0,011627907;0,000106507659;;0,010629843%;252;258;0,976744186;255;258;0,988372093
2422095;2427129;266;;3;0,011278195;0,000109822282;;0,010959450%;255;266;0,958646617;263;266;0,988721805
2421826;2427129;269;;3;0,011152416;0,000111073215;;0,011083053%;263;269;0,977695167;266;269;0,988847584
2421553;2427129;273;;3;0,010989011;0,000112737570;;0,011247857%;266;273;0,974358974;270;273;0,989010989
2421276;2427129;277;;3;0,010830325;0,000114402489;;0,011412661%;270;277;0,974729242;274;277;0,989169675
2420998;2427129;278;;3;0,010791367;0,000114828678;;0,011453862%;274;278;0,985611511;275;278;0,989208633
2420714;2427129;284;;3;0,01056338;0,000117320757;;0,011701067%;275;284;0,968309859;281;284;0,98943662
2420427;2427129;287;;3;0,010452962;0,000118574119;;0,011824670%;281;287;0,979094077;284;287;0,989547038
2420137;2427129;290;;3;0,010344828;0,000119827927;;0,011948273%;284;290;0,979310345;287;290;0,989655172
2419844;2427129;293;;3;0,010238908;0,000121082185;;0,012071876%;287;293;0,979522184;290;293;0,989761092
2419548;2427129;296;;3;0,010135135;0,000122336899;;0,012195479%;290;296;0,97972973;293;296;0,989864865
2419249;2427129;299;;3;0,010033445;0,000123592073;;0,012319082%;293;299;0,97993311;296;299;0,989966555
2418949;2427129;300;;3;0,01;0,000124020804;;0,012360282%;296;300;0,986666667;297;300;0,99
2418647;2427129;302;;3;0,009933775;0,000124863198;;0,012442684%;297;302;0,983443709;299;302;0,990066225
2418340;2427129;307;;3;0,009771987;0,000126946583;;0,012648689%;299;307;0,973941368;304;307;0,990228013
2418029;2427129;311;;4;0,012861736;0,000128617151;;0,012813493%;304;311;0,977491961;307;311;0,987138264
2417711;2427129;318;;4;0,012578616;0,000131529368;;0,013101899%;307;318;0,965408805;314;318;0,987421384
2417383;2427129;328;;4;0,012195122;0,000135683919;;0,013513909%;314;328;0,957317073;324;328;0,987804878
2417048;2427129;335;;5;0,014925373;0,000138598820;;0,013802315%;324;335;0,967164179;330;335;0,985074627
2416707;2427129;341;;6;0,017595308;0,000141101093;;0,014049521%;330;341;0,967741935;335;341;0,982404692
2416358;2427129;349;;6;0,017191977;0,000144432241;;0,014379129%;335;349;0,959885387;343;349;0,982808023
2416003;2427129;355;;6;0,016901408;0,000146936904;;0,014626334%;343;355;0,966197183;349;355;0,983098592
2415635;2427129;368;;6;0,016304348;0,000152340896;;0,015161946%;349;368;0,948369565;362;368;0,983695652
2415263;2427129;372;;6;0,016129032;0,000154020494;;0,015326750%;362;372;0,97311828;366;372;0,983870968
2414878;2427129;385;;6;0,015584416;0,000159428344;;0,015862362%;366;385;0,950649351;379;385;0,984415584
2414485;2427129;393;;6;0,015267176;0,000162767630;;0,016191970%;379;393;0,96437659;387;393;0,984732824
2414058;2427129;427;;6;0,014051522;0,000176880589;;0,017592802%;387;427;0,906323185;421;427;0,985948478
2413618;2427129;440;;6;0,013636364;0,000182298939;;0,018128414%;421;440;0,956818182;434;440;0,986363636
2413172;2427129;446;;6;0,013452915;0,000184818985;;0,018375620%;434;446;0,97309417;440;446;0,986547085
2412703;2427129;469;;6;0,012793177;0,000194387788;;0,019323242%;440;469;0,938166311;463;469;0,987206823
2412220;2427129;483;;6;0,01242236;0,000200230493;;0,019900055%;463;483;0,958592133;477;483;0,98757764
2411716;2427129;504;;6;0,011904762;0,000208979830;;0,020765275%;477;504;0,946428571;498;504;0,988095238
2411201;2427129;515;;6;0,011650485;0,000213586507;;0,021218485%;498;515;0,966990291;509;515;0,988349515
2410670;2427129;531;;6;0,011299435;0,000220270713;;0,021877700%;509;531;0,958568738;525;531;0,988700565
2410122;2427129;548;;6;0,010948905;0,000227374382;;0,022578116%;525;548;0,958029197;542;548;0,989051095
2409569;2427129;553;;6;0,01084991;0,000229501625;;0,022784121%;542;553;0,980108499;547;553;0,98915009
2408992;2427129;577;;6;0,010398614;0,000239519268;;0,023772943%;547;577;0,948006932;571;577;0,989601386
2408399;2427129;593;;6;0,010118044;0,000246221660;;0,024432158%;571;593;0,962900506;587;593;0,989881956
2407793;2427129;606;;6;0,00990099;0,000251682765;;0,024967771%;587;606;0,968646865;600;606;0,99009901
2407174;2427129;619;;6;0,009693053;0,000257148008;;0,025503383%;600;619;0,969305331;612;619;0,988691438
2406542;2427129;632;;6;0,009493671;0,000262617482;;0,026038995%;612;632;0,96835443;625;632;0,988924051
2405894;2427129;648;;8;0,012345679;0,000269338549;;0,026698210%;625;648;0,964506173;639;648;0,986111111
2405218;2427129;676;;8;0,01183432;0,000281055605;;0,027851836%;639;676;0,945266272;667;676;0,986686391
2404508;2427129;710;;8;0,011267606;0,000295278702;;0,029252668%;667;710;0,93943662;698;710;0,983098592
2403769;2427129;739;;8;0,01082544;0,000307433867;;0,030447496%;698;739;0,944519621;726;739;0,98240866
2403012;2427129;757;;8;0,010568032;0,000315021315;;0,031189113%;726;757;0,959048877;744;757;0,982826948
2402226;2427129;786;;9;0,011450382;0,000327196525;;0,032383940%;744;786;0,946564885;771;786;0,980916031
2401407;2427129;819;;9;0,010989011;0,000341050059;;0,033743571%;771;819;0,941391941;803;819;0,98046398
2400556;2427129;851;;9;0,010575793;0,000354501207;;0,035062001%;803;851;0,94359577;835;851;0,98119859
2399654;2427129;902;;10;0,011086475;0,000375887524;;0,037163249%;835;902;0,925720621;885;902;0,981152993
2398717;2427129;937;;10;0,010672359;0,000390625489;;0,038605282%;885;937;0,944503735;919;937;0,980789755
2397742;2427129;975;;10;0,01025641;0,000406632573;;0,040170918%;919;975;0,942564103;955;975;0,979487179
2396705;2427129;1037;;12;0,011571842;0,000432677363;;0,042725376%;955;1037;0,920925747;1011;1037;0,974927676
2395576;2427129;1129;;13;0,011514615;0,000471285403;;0,046515863%;1011;1129;0,895482728;1099;1129;0,973427812
2394402;2427129;1174;;14;0,011925043;0,000490310315;;0,048369905%;1099;1174;0,936115843;1140;1174;0,971039182
2393164;2427129;1238;;15;0,012116317;0,000517306796;;0,051006766%;1140;1238;0,920840065;1200;1238;0,969305331
2391886;2427129;1278;;15;0,011737089;0,000534306401;;0,052654803%;1200;1278;0,938967136;1237;1278;0,967918623
2390555;2427129;1331;;15;0,011269722;0,000556774473;;0,054838453%;1237;1331;0,929376409;1288;1331;0,967693464
2389141;2427129;1414;;19;0,013437058;0,000591844517;;0,058258131%;1288;1414;0,910891089;1363;1414;0,963932107
2387632;2427129;1509;;23;0,015241882;0,000632006942;;0,062172221%;1363;1509;0,903247184;1448;1509;0,959575878
2386004;2427129;1628;;28;0,017199017;0,000682312352;;0,067075133%;1448;1628;0,889434889;1557;1628;0,956388206
2384244;2427129;1760;;32;0,018181818;0,000738179482;;0,072513657%;1557;1760;0,884659091;1682;1760;0,955681818
2382356;2427129;1888;;37;0,019597458;0,000792492810;;0,077787378%;1682;1888;0,890889831;1798;1888;0,952330508
2380394;2427129;1962;;37;0,018858308;0,000824233299;;0,080836247%;1798;1962;0,916411825;1865;1962;0,950560652
