,index,Unnamed: 0,ciudad_de_ubicaci_n,fecha_reporte_web,conteo_confirmados,conteo_recuperado,conteo_fallecidos,casos_activos,acumulado_dia_confirmados,acumulado_dia_recuperado,acumulado_dia_fallecidos,acumulado_dia_activos,tasa_contagio,Poblacion_total,tasa_recuperados
0,675,0,Barranquilla,2020-03-16,2,2.0,0.0,0.0,2,2.0,0.0,0.0,1.7,1206319,1.0
1,676,1,Barranquilla,2020-03-19,3,3.0,0.0,0.0,5,5.0,0.0,0.0,2.5,1206319,1.0
2,677,2,Barranquilla,2020-03-21,2,2.0,0.0,0.0,7,7.0,0.0,0.0,1.4,1206319,1.0
3,678,3,Barranquilla,2020-03-24,2,2.0,0.0,0.0,9,9.0,0.0,0.0,1.2857142857142858,1206319,1.0
4,679,4,Barranquilla,2020-03-25,3,3.0,0.0,0.0,12,12.0,0.0,0.0,1.3333333333333333,1206319,1.0
5,680,5,Barranquilla,2020-03-27,1,0.0,1.0,0.0,13,12.0,1.0,0.0,1.0833333333333333,1206319,1.0
6,681,6,Barranquilla,2020-03-28,3,3.0,0.0,0.0,16,15.0,1.0,0.0,1.2307692307692308,1206319,1.0
7,682,7,Barranquilla,2020-03-29,4,4.0,0.0,0.0,20,19.0,1.0,0.0,1.25,1206319,1.0
8,683,8,Barranquilla,2020-03-30,1,1.0,0.0,0.0,21,20.0,1.0,0.0,1.05,1206319,1.0
9,684,9,Barranquilla,2020-03-31,8,7.0,1.0,0.0,29,27.0,2.0,0.0,1.380952380952381,1206319,1.0
10,685,10,Barranquilla,2020-04-01,2,2.0,0.0,0.0,31,29.0,2.0,0.0,1.0689655172413792,1206319,1.0
11,686,11,Barranquilla,2020-04-03,9,9.0,0.0,0.0,40,38.0,2.0,0.0,1.2903225806451613,1206319,1.0
12,687,12,Barranquilla,2020-04-05,2,2.0,0.0,0.0,42,40.0,2.0,0.0,1.05,1206319,1.0
13,688,13,Barranquilla,2020-04-06,1,1.0,0.0,0.0,43,41.0,2.0,0.0,1.0238095238095237,1206319,1.0
14,689,14,Barranquilla,2020-04-07,3,3.0,0.0,0.0,46,44.0,2.0,0.0,1.069767441860465,1206319,1.0
15,690,15,Barranquilla,2020-04-08,3,3.0,0.0,0.0,49,47.0,2.0,0.0,1.065217391304348,1206319,1.0
16,691,16,Barranquilla,2020-04-09,6,6.0,0.0,0.0,55,53.0,2.0,0.0,1.1224489795918366,1206319,1.0
17,692,17,Barranquilla,2020-04-10,5,5.0,0.0,0.0,60,58.0,2.0,0.0,1.0909090909090908,1206319,1.0
18,693,18,Barranquilla,2020-04-11,4,4.0,0.0,0.0,64,62.0,2.0,0.0,1.0666666666666667,1206319,1.0
19,694,19,Barranquilla,2020-04-12,2,1.0,1.0,0.0,66,63.0,3.0,0.0,1.03125,1206319,0.99
20,695,20,Barranquilla,2020-04-13,1,1.0,0.0,0.0,67,64.0,3.0,0.0,1.0151515151515151,1206319,0.9911504424778761
21,696,21,Barranquilla,2020-04-14,2,2.0,0.0,0.0,69,66.0,3.0,0.0,1.0298507462686568,1206319,0.9928571428571429
22,697,22,Barranquilla,2020-04-16,1,1.0,0.0,0.0,70,67.0,3.0,0.0,1.0144927536231885,1206319,0.9929577464788732
23,698,23,Barranquilla,2020-04-17,2,2.0,0.0,0.0,72,69.0,3.0,0.0,1.0285714285714285,1206319,0.9931972789115646
24,699,24,Barranquilla,2020-04-18,3,3.0,0.0,0.0,75,72.0,3.0,0.0,1.0416666666666667,1206319,0.9933333333333333
25,700,25,Barranquilla,2020-04-19,2,2.0,0.0,0.0,77,74.0,3.0,0.0,1.0266666666666666,1206319,0.9936305732484076
26,701,26,Barranquilla,2020-04-20,1,1.0,0.0,0.0,78,75.0,3.0,0.0,1.0129870129870129,1206319,0.9940119760479041
27,702,27,Barranquilla,2020-04-21,4,1.0,2.0,0.0,82,76.0,5.0,0.0,1.0512820512820513,1206319,0.9944444444444445
