,index,Unnamed: 0,ciudad_de_ubicaci_n,fecha_reporte_web,conteo_confirmados,conteo_recuperado,conteo_fallecidos,casos_activos,acumulado_dia_confirmados,acumulado_dia_recuperado,acumulado_dia_fallecidos,acumulado_dia_activos,tasa_contagio,Poblacion_total,tasa_recuperados
0,343,337,Cali,2020-03-13,1,1.0,0.0,0.0,1,1.0,0.0,0.0,1.7,2227642,1.0
1,344,338,Cali,2020-03-16,2,2.0,0.0,0.0,3,3.0,0.0,0.0,3.0,2227642,1.0
2,345,339,Cali,2020-03-17,5,5.0,0.0,0.0,8,8.0,0.0,0.0,2.6666666666666665,2227642,1.0
3,346,340,Cali,2020-03-20,1,1.0,0.0,0.0,9,9.0,0.0,0.0,1.125,2227642,1.0
4,347,341,Cali,2020-03-21,6,6.0,0.0,0.0,15,15.0,0.0,0.0,1.6666666666666667,2227642,1.0
5,348,342,Cali,2020-03-22,4,4.0,0.0,0.0,19,19.0,0.0,0.0,1.2666666666666666,2227642,1.0
6,349,343,Cali,2020-03-23,3,2.0,1.0,0.0,22,21.0,1.0,0.0,1.1578947368421053,2227642,0.9545454545454546
7,350,344,Cali,2020-03-24,23,23.0,0.0,0.0,45,44.0,1.0,0.0,2.0454545454545454,2227642,0.9777777777777777
8,351,345,Cali,2020-03-25,1,1.0,0.0,0.0,46,45.0,1.0,0.0,1.0222222222222221,2227642,0.9782608695652174
9,352,346,Cali,2020-03-26,2,2.0,0.0,0.0,48,47.0,1.0,0.0,1.0434782608695652,2227642,0.9791666666666666
10,353,347,Cali,2020-03-28,8,6.0,1.0,1.0,56,53.0,2.0,1.0,1.1666666666666667,2227642,0.9464285714285714
11,354,348,Cali,2020-03-29,7,6.0,1.0,0.0,63,59.0,3.0,1.0,1.125,2227642,0.9365079365079365
12,355,349,Cali,2020-03-30,7,5.0,2.0,0.0,70,64.0,5.0,1.0,1.1111111111111112,2227642,0.9142857142857143
13,356,350,Cali,2020-03-31,8,8.0,0.0,0.0,78,72.0,5.0,1.0,1.1142857142857143,2227642,0.9230769230769231
14,357,351,Cali,2020-04-01,23,23.0,0.0,0.0,101,95.0,5.0,1.0,1.294871794871795,2227642,0.9405940594059405
15,358,352,Cali,2020-04-02,2,2.0,0.0,0.0,103,97.0,5.0,1.0,1.0198019801980198,2227642,0.941747572815534
16,359,353,Cali,2020-04-03,13,11.0,2.0,0.0,116,108.0,7.0,1.0,1.1262135922330097,2227642,0.9310344827586207
17,360,354,Cali,2020-04-04,14,12.0,2.0,0.0,130,120.0,9.0,1.0,1.1206896551724137,2227642,0.9230769230769231
18,361,355,Cali,2020-04-05,14,14.0,0.0,0.0,144,134.0,9.0,1.0,1.1076923076923078,2227642,0.9305555555555556
19,362,356,Cali,2020-04-06,9,8.0,1.0,0.0,153,142.0,10.0,1.0,1.0625,2227642,0.9281045751633987
