,index,Unnamed: 0,ciudad_de_ubicaci_n,fecha_reporte_web,conteo_confirmados,conteo_recuperado,conteo_fallecidos,casos_activos,acumulado_dia_confirmados,acumulado_dia_recuperado,acumulado_dia_fallecidos,acumulado_dia_activos,tasa_contagio,Poblacion_total,tasa_recuperados
0,511,505,Cartagena de Indias,2020-03-11,1,1.0,0.0,0.0,1,1.0,0.0,0.0,1.7,973045,1.0
1,512,506,Cartagena de Indias,2020-03-15,2,2.0,0.0,0.0,3,3.0,0.0,0.0,3.0,973045,1.0
2,513,507,Cartagena de Indias,2020-03-16,2,1.0,1.0,0.0,5,4.0,1.0,0.0,1.6666666666666667,973045,0.8
3,514,508,Cartagena de Indias,2020-03-17,1,1.0,0.0,0.0,6,5.0,1.0,0.0,1.2,973045,0.8333333333333334
4,515,509,Cartagena de Indias,2020-03-18,3,3.0,0.0,0.0,9,8.0,1.0,0.0,1.5,973045,0.8888888888888888
5,516,510,Cartagena de Indias,2020-03-19,1,1.0,0.0,0.0,10,9.0,1.0,0.0,1.1111111111111112,973045,0.9
6,517,511,Cartagena de Indias,2020-03-20,1,1.0,0.0,0.0,11,10.0,1.0,0.0,1.1,973045,0.9090909090909091
7,518,512,Cartagena de Indias,2020-03-21,4,4.0,0.0,0.0,15,14.0,1.0,0.0,1.3636363636363635,973045,0.9333333333333333
8,519,513,Cartagena de Indias,2020-03-23,1,1.0,0.0,0.0,16,15.0,1.0,0.0,1.0666666666666667,973045,0.9375
9,520,514,Cartagena de Indias,2020-03-24,5,5.0,0.0,0.0,21,20.0,1.0,0.0,1.3125,973045,0.9523809523809523
10,521,515,Cartagena de Indias,2020-03-25,5,5.0,0.0,0.0,26,25.0,1.0,0.0,1.2380952380952381,973045,0.9615384615384616
11,522,516,Cartagena de Indias,2020-03-28,1,1.0,0.0,0.0,27,26.0,1.0,0.0,1.0384615384615385,973045,0.9629629629629629
12,523,517,Cartagena de Indias,2020-03-29,7,6.0,1.0,0.0,34,32.0,2.0,0.0,1.2592592592592593,973045,0.9411764705882353
13,524,518,Cartagena de Indias,2020-03-30,3,2.0,1.0,0.0,37,34.0,3.0,0.0,1.088235294117647,973045,0.918918918918919
14,525,519,Cartagena de Indias,2020-03-31,2,2.0,0.0,0.0,39,36.0,3.0,0.0,1.054054054054054,973045,0.9230769230769231
15,526,520,Cartagena de Indias,2020-04-03,3,3.0,0.0,0.0,42,39.0,3.0,0.0,1.0769230769230769,973045,0.9285714285714286
16,527,521,Cartagena de Indias,2020-04-06,11,10.0,1.0,0.0,53,49.0,4.0,0.0,1.2619047619047619,973045,0.9245283018867925
17,528,522,Cartagena de Indias,2020-04-07,3,1.0,2.0,0.0,56,50.0,6.0,0.0,1.0566037735849056,973045,0.8928571428571429
18,529,523,Cartagena de Indias,2020-04-08,9,9.0,0.0,0.0,65,59.0,6.0,0.0,1.1607142857142858,973045,0.9076923076923077
19,530,524,Cartagena de Indias,2020-04-09,14,10.0,4.0,0.0,79,69.0,10.0,0.0,1.2153846153846153,973045,0.8734177215189873
20,531,525,Cartagena de Indias,2020-04-10,21,20.0,1.0,0.0,100,89.0,11.0,0.0,1.2658227848101267,973045,0.89
21,532,526,Cartagena de Indias,2020-04-11,8,7.0,1.0,0.0,108,96.0,12.0,0.0,1.08,973045,0.8888888888888888
22,533,527,Cartagena de Indias,2020-04-12,6,6.0,0.0,0.0,114,102.0,12.0,0.0,1.0555555555555556,973045,0.8947368421052632
23,534,528,Cartagena de Indias,2020-04-13,10,10.0,0.0,0.0,124,112.0,12.0,0.0,1.087719298245614,973045,0.9032258064516129
24,535,529,Cartagena de Indias,2020-04-14,10,7.0,2.0,0.0,134,119.0,14.0,0.0,1.0806451612903225,973045,0.8880597014925373
25,536,530,Cartagena de Indias,2020-04-15,14,12.0,2.0,0.0,148,131.0,16.0,0.0,1.1044776119402986,973045,0.8851351351351351
26,537,531,Cartagena de Indias,2020-04-16,8,7.0,1.0,0.0,156,138.0,17.0,0.0,1.054054054054054,973045,0.8846153846153846
27,538,532,Cartagena de Indias,2020-04-17,5,4.0,0.0,1.0,161,142.0,17.0,1.0,1.0320512820512822,973045,0.8819875776397516
