,Unnamed: 0,ciudad_de_ubicaci_n,fecha_reporte_web,conteo_confirmados,conteo_recuperado,conteo_fallecidos,casos_activos,acumulado_dia_confirmados,acumulado_dia_recuperado,acumulado_dia_fallecidos,acumulado_dia_activos,Poblacion_total,susceptibles,tasa_contagiados,tasa_recuperados,tasa_contagiados_mas_1,media_movil_med,media_movil_contagiados_med,media_movil_recuperados_med
0,669,Medellín,2020-03-09,1,1.0,0.0,0.0,1,1.0,0.0,0.0,2427129,2427128,4.120095849909852e-07,1.0,1.000000412009585,,,
1,670,Medellín,2020-03-11,2,2.0,0.0,0.0,3,3.0,0.0,0.0,2427129,2427126,1.2360297734851837e-06,1.0,1.0000012360297734,,,
2,671,Medellín,2020-03-14,2,2.0,0.0,0.0,5,5.0,0.0,0.0,2427129,2427124,2.060051319998484e-06,1.0,1.00000206005132,1.2360302261582176e-06,1.2360302261582176e-06,1.0
3,672,Medellín,2020-03-15,1,1.0,0.0,0.0,6,6.0,0.0,0.0,2427129,2427123,2.472062602513346e-06,1.0,1.0000024720626026,1.9227145653323376e-06,1.9227145653323376e-06,1.0
4,673,Medellín,2020-03-19,3,3.0,0.0,0.0,9,9.0,0.0,0.0,2427129,2427120,3.7080984870958175e-06,1.0,1.0000037080984872,2.7467374698692152e-06,2.7467374698692152e-06,1.0
5,674,Medellín,2020-03-20,7,7.0,0.0,0.0,16,16.0,0.0,0.0,2427129,2427113,6.592194100563097e-06,1.0,1.0000065921941006,4.25745173005742e-06,4.25745173005742e-06,1.0
6,675,Medellín,2020-03-21,1,1.0,0.0,0.0,17,17.0,0.0,0.0,2427129,2427112,7.004209117667417e-06,1.0,1.0000070042091176,5.768167235108777e-06,5.768167235108777e-06,1.0
7,676,Medellín,2020-03-22,2,2.0,0.0,0.0,19,19.0,0.0,0.0,2427129,2427110,7.828240170408428e-06,1.0,1.0000078282401703,7.14154779621298e-06,7.14154779621298e-06,1.0
8,677,Medellín,2020-03-23,13,13.0,0.0,0.0,32,32.0,0.0,0.0,2427129,2427097,1.318447511574527e-05,1.0,1.0000131844751157,9.338974801273704e-06,9.338974801273704e-06,1.0
9,678,Medellín,2020-03-25,6,6.0,0.0,0.0,38,38.0,0.0,0.0,2427129,2427091,1.5656602904464645e-05,1.0,1.0000156566029044,1.2223106063539444e-05,1.2223106063539444e-05,1.0
10,679,Medellín,2020-03-28,4,4.0,0.0,0.0,42,42.0,0.0,0.0,2427129,2427087,1.7304694887327894e-05,1.0,1.0000173046948873,1.53819243025126e-05,1.53819243025126e-05,1.0
11,680,Medellín,2020-03-29,8,8.0,0.0,0.0,50,50.0,0.0,0.0,2427129,2427079,2.0600895150096062e-05,1.0,1.00002060089515,1.7854064313962862e-05,1.7854064313962862e-05,1.0
12,681,Medellín,2020-03-30,8,8.0,0.0,0.0,58,58.0,0.0,0.0,2427129,2427071,2.3897117142432173e-05,1.0,1.0000238971171425,2.060090239328537e-05,2.060090239328537e-05,1.0
13,682,Medellín,2020-03-31,4,4.0,0.0,0.0,62,62.0,0.0,0.0,2427129,2427067,2.5545236287255357e-05,1.0,1.0000255452362872,2.3347749526594526e-05,2.3347749526594526e-05,1.0
14,683,Medellín,2020-04-01,1,1.0,0.0,0.0,63,63.0,0.0,0.0,2427129,2427066,2.5957266922283944e-05,1.0,1.0000259572669223,2.5133206783990486e-05,2.5133206783990486e-05,1.0
15,684,Medellín,2020-04-02,10,10.0,0.0,0.0,73,73.0,0.0,0.0,2427129,2427056,3.007759194678656e-05,1.0,1.0000300775919468,2.7193365052108614e-05,2.7193365052108614e-05,1.0
16,685,Medellín,2020-04-03,11,11.0,0.0,0.0,84,84.0,0.0,0.0,2427129,2427045,3.460998868995013e-05,1.0,1.0000346099886899,3.02149491863402e-05,3.02149491863402e-05,1.0
17,686,Medellín,2020-04-04,2,2.0,0.0,0.0,86,86.0,0.0,0.0,2427129,2427043,3.543406523905839e-05,1.0,1.000035434065239,3.337388195859835e-05,3.337388195859835e-05,1.0
18,687,Medellín,2020-04-05,9,9.0,0.0,0.0,95,95.0,0.0,0.0,2427129,2427034,3.914242651730466e-05,1.0,1.0000391424265174,3.639549348210438e-05,3.639549348210438e-05,1.0
19,688,Medellín,2020-04-06,5,4.0,1.0,0.0,100,99.0,1.0,0.0,2427129,2427029,4.120263911144037e-05,0.99,1.0000412026391114,3.859304362260113e-05,3.859304362260113e-05,0.9966666666666667
20,689,Medellín,2020-04-07,13,13.0,0.0,0.0,113,112.0,1.0,0.0,2427129,2427016,4.6559231583145726e-05,0.9911504424778761,1.0000465592315833,4.230143240396358e-05,4.230143240396358e-05,0.993716814159292
21,690,Medellín,2020-04-08,27,27.0,0.0,0.0,140,139.0,1.0,0.0,2427129,2426989,5.7684645459868176e-05,0.9928571428571429,1.0000576846454599,4.848217205148475e-05,4.848217205148475e-05,0.9913358617783397
22,691,Medellín,2020-04-09,2,2.0,0.0,0.0,142,141.0,1.0,0.0,2427129,2426987,5.8508760038681706e-05,0.9929577464788732,1.0000585087600387,5.425087902723186e-05,5.425087902723186e-05,0.9923217772712972
23,692,Medellín,2020-04-10,5,5.0,0.0,0.0,147,146.0,1.0,0.0,2427129,2426982,6.056905242807734e-05,0.9931972789115646,1.000060569052428,5.8920819308875726e-05,5.8920819308875726e-05,0.9930040560825267
24,693,Medellín,2020-04-11,3,3.0,0.0,0.0,150,149.0,1.0,0.0,2427129,2426979,6.180523193649389e-05,0.9933333333333333,1.0000618052319366,6.029434813441763e-05,6.029434813441763e-05,0.9931627862412569
25,694,Medellín,2020-04-12,7,7.0,0.0,0.0,157,156.0,1.0,0.0,2427129,2426972,6.468966267431186e-05,0.9936305732484076,1.0000646896626744,6.235464901296102e-05,6.235464901296102e-05,0.9933870618311017
26,695,Medellín,2020-04-13,10,10.0,0.0,0.0,167,166.0,1.0,0.0,2427129,2426962,6.881030687748717e-05,0.9940119760479041,1.0000688103068776,6.510173382943095e-05,6.510173382943095e-05,0.993658627543215
27,696,Medellín,2020-04-14,13,13.0,0.0,0.0,180,179.0,1.0,0.0,2427129,2426949,7.416719510793181e-05,0.9944444444444445,1.0000741671951079,6.922238821991025e-05,6.922238821991025e-05,0.9940289979135853
28,697,Medellín,2020-04-15,10,10.0,0.0,0.0,190,189.0,1.0,0.0,2427129,2426939,7.828791741366388e-05,0.9947368421052631,1.0000782879174137,7.375513979969427e-05,7.375513979969427e-05,0.9943977541992041
29,698,Medellín,2020-04-16,4,3.0,1.0,0.0,194,192.0,2.0,0.0,2427129,2426935,7.993621584426447e-05,0.9896907216494846,1.0000799362158443,7.746377612195337e-05,7.746377612195337e-05,0.9929573360663975
30,699,Medellín,2020-04-17,6,6.0,0.0,0.0,200,198.0,2.0,0.0,2427129,2426929,8.240867367772193e-05,0.99,1.0000824086736777,8.021093564521673e-05,8.021093564521673e-05,0.991475854584916
31,700,Medellín,2020-04-18,8,8.0,0.0,0.0,208,206.0,2.0,0.0,2427129,2426921,8.570530313924516e-05,0.9903846153846154,1.0000857053031393,8.268339755374383e-05,8.268339755374383e-05,0.9900251123447003
32,701,Medellín,2020-04-19,11,10.0,1.0,0.0,219,216.0,3.0,0.0,2427129,2426910,9.023820413612371e-05,0.9863013698630136,1.0000902382041361,8.611739365103025e-05,8.611739365103025e-05,0.9888953284158766
33,702,Medellín,2020-04-20,6,6.0,0.0,0.0,225,222.0,3.0,0.0,2427129,2426904,9.271071290829799e-05,0.9866666666666667,1.0000927107129083,8.955140672788894e-05,8.955140672788894e-05,0.9877842173047654
34,703,Medellín,2020-04-21,3,3.0,0.0,0.0,228,225.0,3.0,0.0,2427129,2426901,9.39469718789518e-05,0.9868421052631579,1.000093946971879,9.229862964112449e-05,9.229862964112449e-05,0.986603380597613
35,704,Medellín,2020-04-22,6,6.0,0.0,0.0,234,231.0,3.0,0.0,2427129,2426895,9.641949898944948e-05,0.9871794871794872,1.0000964194989894,9.435906125889974e-05,9.435906125889974e-05,0.9868960863697708
36,705,Medellín,2020-04-23,15,15.0,0.0,0.0,249,246.0,3.0,0.0,2427129,2426880,0.00010260087025316456,0.9879518072289156,1.0001026008702532,9.765578037385526e-05,9.765578037385526e-05,0.9873244665571871
37,706,Medellín,2020-04-24,5,5.0,0.0,0.0,254,251.0,3.0,0.0,2427129,2426875,0.00010466134432140097,0.9881889763779528,1.0001046613443214,0.00010122723785467164,0.00010122723785467164,0.987773423595452
38,707,Medellín,2020-04-25,1,1.0,0.0,0.0,255,252.0,3.0,0.0,2427129,2426874,0.00010507344015387696,0.9882352941176471,1.000105073440154,0.00010411188490948081,0.00010411188490948081,0.9881253592415052
39,708,Medellín,2020-04-26,3,3.0,0.0,0.0,258,255.0,3.0,0.0,2427129,2426871,0.00010630972968896987,0.9883720930232558,1.000106309729689,0.00010534817138808257,0.00010534817138808257,0.9882654545062853
40,709,Medellín,2020-04-27,8,8.0,0.0,0.0,266,263.0,3.0,0.0,2427129,2426863,0.0001096065167255012,0.9887218045112782,1.0001096065167254,0.00010699656218944932,0.00010699656218944932,0.9884430638840606
41,710,Medellín,2020-04-28,3,3.0,0.0,0.0,269,266.0,3.0,0.0,2427129,2426860,0.0001108428174678391,0.9888475836431226,1.0001108428174679,0.00010891968796077004,0.00010891968796077004,0.9886471603925524
42,711,Medellín,2020-04-29,4,4.0,0.0,0.0,273,270.0,3.0,0.0,2427129,2426856,0.00011249122321225486,0.989010989010989,1.0001124912232122,0.00011098018580186505,0.00011098018580186505,0.9888601257217968
43,712,Medellín,2020-04-30,4,4.0,0.0,0.0,277,274.0,3.0,0.0,2427129,2426852,0.00011413963439056028,0.9891696750902527,1.0001141396343907,0.00011249122502355142,0.00011249122502355142,0.9890094159147882
44,713,Medellín,2020-05-01,1,1.0,0.0,0.0,278,275.0,3.0,0.0,2427129,2426851,0.00011455173803418504,0.9892086330935251,1.000114551738034,0.00011372753187900008,0.00011372753187900008,0.9891297657315891
45,714,Medellín,2020-05-03,6,6.0,0.0,0.0,284,281.0,3.0,0.0,2427129,2426845,0.00011702436702797253,0.9894366197183099,1.0001170243670279,0.00011523857981757263,0.00011523857981757263,0.9892716426340294
46,715,Medellín,2020-05-04,3,3.0,0.0,0.0,287,284.0,3.0,0.0,2427129,2426842,0.00011826068610976734,0.9895470383275261,1.0001182606861099,0.00011661226372397498,0.00011661226372397498,0.9893974303797872
47,716,Medellín,2020-05-05,3,3.0,0.0,0.0,290,287.0,3.0,0.0,2427129,2426839,0.00011949700824817798,0.9896551724137931,1.000119497008248,0.00011826068712863928,0.00011826068712863928,0.9895462768198765
